bin,channel,RelativeIntensity
0,droplet,1.0
1,droplet,0.9594997425488816
2,droplet,0.8442102901757018
3,droplet,0.6733031515421678
4,droplet,0.4711259939706508
5,droplet,0.25623233702395576
6,droplet,0.127777326879598
7,droplet,0.07203215765559062
8,droplet,0.05516762716705344
9,droplet,0.05102810097308802
0,mcp,0.8179662823667887
1,mcp,0.8514113625541366
2,mcp,0.9240104375674597
3,mcp,0.9877125566997825
4,mcp,1.0
5,mcp,0.9210797373621384
6,mcp,0.7749023485377987
7,mcp,0.6174294091621865
8,mcp,0.4842112127144135
9,mcp,0.3888866885659949
