,id_,hasBoth,phenotype,pearson
0,1,True,1,0.11502015179047466
1,2,True,1,0.7133144182405107
2,3,True,1,0.5662083397623604
3,4,True,1,0.24222731705582615
4,5,True,1,0.6607128365038075
5,6,True,1,0.4222060292597134
6,7,True,1,0.32678700282733325
7,8,True,1,0.026718798044267494
8,9,True,1,0.4752825666116266
9,10,True,1,0.21941115595762367
10,11,False,2,-0.13150807040521822
11,12,False,2,-0.07564411562680727
12,13,False,2,-0.2060178363698232
13,14,False,2,0.20233467500625638
14,15,False,2,0.032872602769691735
15,16,False,3,-0.21251923306986423
16,17,False,3,0.19832067818541815
17,18,False,3,0.0037836521573266957
18,19,False,3,0.07677810516139957
19,20,False,3,-0.5119712522475408
20,21,False,3,0.13776478816602486
21,22,False,3,0.12351738310716574
